Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_accu_b.par	 Date: 08/02/2011   Time: 09:52

X [G]	Intensity
3439.169922	-196165.765625
3439.219971	-106772.773438
3439.270020	-134827.765625
3439.320068	137.229492
3439.370117	-324170.781250
3439.419922	-251702.765625
3439.469971	-319114.781250
3439.520020	-431839.781250
3439.570068	-59525.769531
3439.620117	385882.218750
3439.669922	543853.250000
3439.719971	45068.230469
3439.770020	-39516.769531
3439.820068	541341.250000
3439.870117	128034.226563
3439.919922	95869.226563
3439.969971	121838.226563
3440.020020	-284830.781250
3440.070068	-391363.781250
3440.120117	-298731.781250
3440.169922	-112786.773438
3440.219971	-94464.773438
3440.270020	176780.234375
3440.320068	-175890.765625
3440.370117	-295321.781250
3440.419922	-2305.770508
3440.469971	-361601.781250
3440.520020	-172494.765625
3440.570068	-127748.773438
3440.620117	-165965.765625
3440.669922	186244.234375
3440.719971	217267.234375
3440.770020	-111470.773438
3440.820068	-498352.781250
3440.870117	-276757.781250
3440.919922	-132114.765625
3440.969971	-194958.765625
3441.020020	-136981.765625
3441.070068	-163068.765625
3441.120117	169188.234375
3441.169922	284880.218750
3441.219971	-23434.771484
3441.270020	199511.234375
3441.320068	-50063.769531
3441.370117	-226515.765625
3441.419922	-72261.773438
3441.469971	51761.230469
3441.520020	-219733.765625
3441.570068	229459.234375
3441.620117	13092.229492
3441.669922	220060.234375
3441.719971	91267.226563
3441.770020	239012.234375
3441.820068	283473.218750
3441.870117	212006.234375
3441.919922	-348649.781250
3441.969971	-143694.765625
3442.020020	7756.229492
3442.070068	81166.226563
3442.120117	-222036.765625
3442.169922	-174086.765625
3442.219971	-67656.773438
3442.270020	-233213.765625
3442.320068	-95577.773438
3442.370117	3823.229492
3442.419922	-88588.773438
3442.469971	-118565.773438
3442.520020	350494.218750
3442.570068	261823.234375
3442.620117	-37272.769531
3442.669922	-128686.773438
3442.719971	206388.234375
3442.770020	257979.234375
3442.820068	38432.230469
3442.870117	398052.218750
3442.919922	602.229492
3442.969971	-129809.773438
3443.020020	-271769.781250
3443.070068	-182339.765625
3443.120117	-129850.773438
3443.169922	68033.226563
3443.219971	28115.228516
3443.270020	194192.234375
3443.320068	138131.234375
3443.370117	-238361.765625
3443.419922	-94004.773438
3443.469971	314995.218750
3443.520020	420521.218750
3443.570068	92975.226563
3443.620117	208061.234375
3443.669922	-115654.773438
3443.719971	-201601.765625
3443.770020	138117.234375
3443.820068	-214220.765625
3443.870117	-403898.781250
3443.919922	-384631.781250
3443.969971	-91420.773438
3444.020020	135833.234375
3444.070068	13141.229492
3444.120117	-221900.765625
3444.169922	-153147.765625
3444.219971	-140993.765625
3444.270020	346293.218750
3444.320068	194173.234375
3444.370117	52668.230469
3444.419922	-82439.773438
3444.469971	15878.229492
3444.520020	-309450.781250
3444.570068	-200504.765625
3444.620117	67186.226563
3444.669922	77686.226563
3444.719971	-171436.765625
3444.770020	-116255.773438
3444.820068	472531.218750
3444.870117	410316.218750
3444.919922	50810.230469
3444.969971	232074.234375
3445.020020	184578.234375
3445.070068	-130473.773438
3445.120117	-302598.781250
3445.169922	217132.234375
3445.219971	-96113.773438
3445.270020	-113029.773438
3445.320068	-187604.765625
3445.370117	180238.234375
3445.419922	249247.234375
3445.469971	199342.234375
3445.520020	21029.228516
3445.570068	-418927.781250
3445.620117	-340642.781250
3445.669922	-159180.765625
3445.719971	-232769.765625
3445.770020	-53583.769531
3445.820068	-406855.781250
3445.870117	-223858.765625
3445.919922	-2856.770508
3445.969971	-20701.771484
3446.020020	-121302.773438
3446.070068	25494.228516
3446.120117	-381166.781250
3446.169922	-470233.781250
3446.219971	-6962.770508
3446.270020	239451.234375
3446.320068	91497.226563
3446.370117	-36273.769531
3446.419922	-6952.770508
3446.469971	477676.218750
3446.520020	-85645.773438
3446.570068	-389364.781250
3446.620117	-24993.771484
3446.669922	-269319.781250
3446.719971	-497680.781250
3446.770020	-4003.770508
3446.820068	97084.226563
3446.870117	-158849.765625
3446.919922	-332275.781250
3446.969971	-334544.781250
3447.020020	-180026.765625
3447.070068	-235914.765625
3447.120117	-502209.781250
3447.169922	-201229.765625
3447.219971	-95009.773438
3447.270020	175765.234375
3447.320068	-137124.765625
3447.370117	-223636.765625
3447.419922	-159711.765625
3447.469971	138126.234375
3447.520020	175831.234375
3447.570068	335250.218750
3447.620117	-216100.765625
3447.669922	-155831.765625
3447.719971	-278856.781250
3447.770020	-346830.781250
3447.820068	-648194.750000
3447.870117	-299660.781250
3447.919922	114036.226563
3447.969971	86587.226563
3448.020020	-468963.781250
3448.070068	-206586.765625
3448.120117	84407.226563
3448.169922	113853.226563
3448.219971	315244.218750
3448.270020	134571.234375
3448.320068	-21634.771484
3448.370117	-121312.773438
3448.419922	-119410.773438
3448.469971	-135397.765625
3448.520020	110133.226563
3448.570068	-137711.765625
3448.620117	-65583.773438
3448.669922	393738.218750
3448.719971	640953.250000
3448.770020	-26715.771484
3448.820068	22588.228516
3448.870117	127823.226563
3448.919922	-77985.773438
3448.969971	-334860.781250
3449.020020	-201328.765625
3449.070068	-114008.773438
3449.120117	-206862.765625
3449.169922	-6092.770508
3449.219971	319582.218750
3449.270020	130790.226563
3449.320068	-30609.771484
3449.370117	78241.226563
3449.419922	214204.234375
3449.469971	148465.234375
3449.520020	285852.218750
3449.570068	587616.250000
3449.620117	350218.218750
3449.669922	420295.218750
3449.719971	601362.250000
3449.770020	978241.250000
3449.820068	876271.250000
3449.870117	408676.218750
3449.919922	461853.218750
3449.969971	342764.218750
3450.020020	675545.250000
3450.070068	253099.234375
3450.120117	139776.234375
3450.169922	79364.226563
3450.219971	-22266.771484
3450.270020	-212197.765625
3450.320068	45864.230469
3450.370117	-254630.765625
3450.419922	-386902.781250
3450.469971	-479813.781250
3450.520020	-91485.773438
3450.570068	-121928.773438
3450.620117	-172885.765625
3450.669922	-631782.750000
3450.719971	-301035.781250
3450.770020	114731.226563
3450.820068	-107408.773438
3450.870117	-295412.781250
3450.919922	-131004.773438
3450.969971	-640183.750000
3451.020020	-441149.781250
3451.070068	-34490.769531
3451.120117	-433877.781250
3451.169922	-537589.750000
3451.219971	-315178.781250
3451.270020	-661825.750000
3451.320068	-288140.781250
3451.370117	-116625.773438
3451.419922	-35916.769531
3451.469971	-285331.781250
3451.520020	-503674.781250
3451.570068	-365405.781250
3451.620117	96677.226563
3451.669922	-313964.781250
3451.719971	-258721.765625
3451.770020	-9839.770508
3451.820068	-206769.765625
3451.870117	-12133.770508
3451.919922	-317832.781250
3451.969971	-227987.765625
3452.020020	-427931.781250
3452.070068	-295127.781250
3452.120117	121433.226563
3452.169922	11596.229492
3452.219971	-252853.765625
3452.270020	-60385.769531
3452.320068	-122604.773438
3452.370117	-8574.770508
3452.419922	-250403.765625
3452.469971	82765.226563
3452.520020	88961.226563
3452.570068	-209094.765625
3452.620117	-189172.765625
3452.669922	-259190.765625
3452.719971	409403.218750
3452.770020	161828.234375
3452.820068	-62307.769531
3452.870117	-113253.773438
3452.919922	-73042.773438
3452.969971	-137118.765625
3453.020020	-69811.773438
3453.070068	-34692.769531
3453.120117	175436.234375
3453.169922	-102205.773438
3453.219971	-44119.769531
3453.270020	140280.234375
3453.320068	172523.234375
3453.370117	-514306.781250
3453.419922	-190778.765625
3453.469971	60694.230469
3453.520020	207720.234375
3453.570068	688113.250000
3453.620117	139403.234375
3453.669922	435504.218750
3453.719971	401572.218750
3453.770020	743895.250000
3453.820068	377908.218750
3453.870117	-106881.773438
3453.919922	54643.230469
3453.969971	320752.218750
3454.020020	10790.229492
3454.070068	28848.228516
3454.120117	-465155.781250
3454.169922	-243292.765625
3454.219971	45032.230469
3454.270020	-155898.765625
3454.320068	-347944.781250
3454.370117	-299418.781250
3454.419922	3352.229492
3454.469971	240964.234375
3454.520020	161995.234375
3454.570068	-311947.781250
3454.620117	-562499.750000
3454.669922	-528900.750000
3454.719971	42000.230469
3454.770020	87028.226563
3454.820068	134621.234375
3454.870117	314784.218750
3454.919922	429625.218750
3454.969971	339928.218750
3455.020020	631515.250000
3455.070068	758969.250000
3455.120117	-195319.765625
3455.169922	-211629.765625
3455.219971	-263094.781250
3455.270020	-434771.781250
3455.320068	-477852.781250
3455.370117	-664905.750000
3455.419922	-344624.781250
3455.469971	-276290.781250
3455.520020	-340968.781250
3455.570068	-437035.781250
3455.620117	-435755.781250
3455.669922	-604435.750000
3455.719971	-381852.781250
3455.770020	-80100.773438
3455.820068	98409.226563
3455.870117	-22084.771484
3455.919922	283901.218750
3455.969971	37662.230469
3456.020020	176000.234375
3456.070068	147952.234375
3456.120117	44419.230469
3456.169922	-177359.765625
3456.219971	-423206.781250
3456.270020	-220741.765625
3456.320068	-274316.781250
3456.370117	26662.228516
3456.419922	85098.226563
3456.469971	48292.230469
3456.520020	174230.234375
3456.570068	203084.234375
3456.620117	423716.218750
3456.669922	781123.250000
3456.719971	1130839.250000
3456.770020	1098713.250000
3456.820068	1332945.250000
3456.870117	1536528.250000
3456.919922	1943462.250000
3456.969971	2319852.250000
3457.020020	1357652.250000
3457.070068	824861.250000
3457.120117	338443.218750
3457.169922	-676162.750000
3457.219971	-1197594.750000
3457.270020	-1535857.750000
3457.320068	-1607556.750000
3457.370117	-1844683.750000
3457.419922	-1664646.750000
3457.469971	-1419065.750000
3457.520020	-1015345.750000
3457.570068	-1205521.750000
3457.620117	-897050.750000
3457.669922	-784415.750000
3457.719971	-943522.750000
3457.770020	-700533.750000
3457.820068	-659798.750000
3457.870117	-303823.781250
3457.919922	-467385.781250
3457.969971	58347.230469
3458.020020	-20182.771484
3458.070068	-269307.781250
3458.120117	-25145.771484
3458.169922	335588.218750
3458.219971	340024.218750
3458.270020	447597.218750
3458.320068	382219.218750
3458.370117	555935.250000
3458.419922	716950.250000
3458.469971	728939.250000
3458.520020	1041738.250000
3458.570068	1320511.250000
3458.620117	1770205.250000
3458.669922	2047627.250000
3458.719971	2618424.250000
3458.770020	3401910.250000
3458.820068	3242704.250000
3458.870117	2963637.250000
3458.919922	2034611.250000
3458.969971	971152.250000
3459.020020	-337403.781250
3459.070068	-1175579.750000
3459.120117	-2264153.750000
3459.169922	-3019515.750000
3459.219971	-2962721.750000
3459.270020	-2631067.750000
3459.320068	-2469198.750000
3459.370117	-2084587.750000
3459.419922	-1399286.750000
3459.469971	-1119321.750000
