REPORT
             Radical               Slice                Time            g Factor          Line Width          Line Shape                Area
          NS-Radical                   1           0.000e+00           2.006e+00           1.500e+00           1.000e-01           3.186e+01
          NS-Radical                   2           1.517e+01           2.006e+00           1.500e+00           1.000e-01           3.080e+01
          NS-Radical                   3           3.001e+01           2.006e+00           1.500e+00           1.000e-01           2.995e+01
          NS-Radical                   4           4.482e+01           2.006e+00           1.500e+00           1.000e-01           2.923e+01
          NS-Radical                   5           5.966e+01           2.006e+00           1.500e+00           1.000e-01           2.807e+01
          NS-Radical                   6           7.452e+01           2.006e+00           1.500e+00           1.000e-01           2.779e+01
          NS-Radical                   7           8.936e+01           2.006e+00           1.500e+00           1.000e-01           2.698e+01
          NS-Radical                   8           1.042e+02           2.006e+00           1.500e+00           1.000e-01           2.576e+01
          NS-Radical                   9           1.190e+02           2.006e+00           1.500e+00           1.000e-01           2.584e+01
          NS-Radical                  10           1.338e+02           2.006e+00           1.500e+00           1.000e-01           2.485e+01
          NS-Radical                  11           1.487e+02           2.006e+00           1.500e+00           1.000e-01           2.413e+01
          NS-Radical                  12           1.635e+02           2.006e+00           1.500e+00           1.000e-01           2.418e+01
          NS-Radical                  13           1.784e+02           2.006e+00           1.500e+00           1.000e-01           2.345e+01
          NS-Radical                  14           1.932e+02           2.006e+00           1.500e+00           1.000e-01           2.339e+01
          NS-Radical                  15           2.081e+02           2.006e+00           1.500e+00           1.000e-01           2.255e+01
          NS-Radical                  16           2.229e+02           2.006e+00           1.500e+00           1.000e-01           2.177e+01
          NS-Radical                  17           2.378e+02           2.006e+00           1.500e+00           1.000e-01           2.179e+01
          NS-Radical                  18           2.526e+02           2.006e+00           1.500e+00           1.000e-01           2.091e+01
          NS-Radical                  19           2.674e+02           2.006e+00           1.500e+00           1.000e-01           2.068e+01
          NS-Radical                  20           2.823e+02           2.006e+00           1.500e+00           1.000e-01           2.051e+01
          NS-Radical                  21           2.972e+02           2.006e+00           1.500e+00           1.000e-01           1.982e+01
          NS-Radical                  22           3.121e+02           2.006e+00           1.500e+00           1.000e-01           1.948e+01
          NS-Radical                  23           3.269e+02           2.006e+00           1.500e+00           1.000e-01           1.941e+01
          NS-Radical                  24           3.418e+02           2.006e+00           1.500e+00           1.000e-01           1.917e+01
          NS-Radical                  25           3.567e+02           2.006e+00           1.500e+00           1.000e-01           1.863e+01
          NS-Radical                  26           3.715e+02           2.006e+00           1.500e+00           1.000e-01           1.853e+01
          NS-Radical                  27           3.864e+02           2.006e+00           1.500e+00           1.000e-01           1.833e+01
          NS-Radical                  28           4.012e+02           2.006e+00           1.500e+00           1.000e-01           1.810e+01
          NS-Radical                  29           4.161e+02           2.006e+00           1.500e+00           1.000e-01           1.749e+01
          NS-Radical                  30           4.310e+02           2.006e+00           1.500e+00           1.000e-01           1.757e+01
          NS-Radical                  31           4.458e+02           2.006e+00           1.500e+00           1.000e-01           1.744e+01
          NS-Radical                  32           4.606e+02           2.006e+00           1.500e+00           1.000e-01           1.660e+01
          NS-Radical                  33           4.755e+02           2.006e+00           1.500e+00           1.000e-01           1.662e+01
          NS-Radical                  34           4.903e+02           2.006e+00           1.500e+00           1.000e-01           1.658e+01
          NS-Radical                  35           5.052e+02           2.006e+00           1.500e+00           1.000e-01           1.583e+01
          NS-Radical                  36           5.200e+02           2.006e+00           1.500e+00           1.000e-01           1.590e+01
          NS-Radical                  37           5.349e+02           2.006e+00           1.500e+00           1.000e-01           1.581e+01
          NS-Radical                  38           5.498e+02           2.006e+00           1.500e+00           1.000e-01           1.566e+01
          NS-Radical                  39           5.646e+02           2.006e+00           1.500e+00           1.000e-01           1.529e+01
          NS-Radical                  40           5.794e+02           2.006e+00           1.500e+00           1.000e-01           1.530e+01
          NS-Radical                  41           5.943e+02           2.006e+00           1.500e+00           1.000e-01           1.465e+01
          NS-Radical                  42           6.091e+02           2.006e+00           1.500e+00           1.000e-01           1.473e+01
          NS-Radical                  43           6.240e+02           2.006e+00           1.500e+00           1.000e-01           1.475e+01
          NS-Radical                  44           6.388e+02           2.006e+00           1.500e+00           1.000e-01           1.422e+01
          NS-Radical                  45           6.539e+02           2.006e+00           1.500e+00           1.000e-01           1.444e+01
          NS-Radical                  46           6.688e+02           2.006e+00           1.500e+00           1.000e-01           1.421e+01
          NS-Radical                  47           6.836e+02           2.006e+00           1.500e+00           1.000e-01           1.359e+01
          NS-Radical                  48           6.985e+02           2.006e+00           1.500e+00           1.000e-01           1.348e+01
          NS-Radical                  49           7.133e+02           2.006e+00           1.500e+00           1.000e-01           1.365e+01
          NS-Radical                  50           7.282e+02           2.006e+00           1.500e+00           1.000e-01           1.346e+01
          NS-Radical                  51           7.431e+02           2.006e+00           1.500e+00           1.000e-01           1.322e+01
          NS-Radical                  52           7.580e+02           2.006e+00           1.500e+00           1.000e-01           1.301e+01
          NS-Radical                  53           7.728e+02           2.006e+00           1.500e+00           1.000e-01           1.282e+01
          NS-Radical                  54           7.877e+02           2.006e+00           1.500e+00           1.000e-01           1.281e+01
          NS-Radical                  55           8.025e+02           2.006e+00           1.500e+00           1.000e-01           1.244e+01
          NS-Radical                  56           8.174e+02           2.006e+00           1.500e+00           1.000e-01           1.247e+01
          NS-Radical                  57           8.323e+02           2.006e+00           1.500e+00           1.000e-01           1.249e+01
          NS-Radical                  58           8.471e+02           2.006e+00           1.500e+00           1.000e-01           1.216e+01
          NS-Radical                  59           8.620e+02           2.006e+00           1.500e+00           1.000e-01           1.197e+01
          NS-Radical                  60           8.768e+02           2.006e+00           1.500e+00           1.000e-01           1.186e+01
          NS-Radical                  61           8.916e+02           2.006e+00           1.500e+00           1.000e-01           1.158e+01
          NS-Radical                  62           9.065e+02           2.006e+00           1.500e+00           1.000e-01           1.192e+01
          NS-Radical                  63           9.213e+02           2.006e+00           1.500e+00           1.000e-01           1.141e+01
          NS-Radical                  64           9.361e+02           2.006e+00           1.500e+00           1.000e-01           1.139e+01
          NS-Radical                  65           9.510e+02           2.006e+00           1.500e+00           1.000e-01           1.148e+01
          NS-Radical                  66           9.658e+02           2.006e+00           1.500e+00           1.000e-01           1.107e+01
          NS-Radical                  67           9.807e+02           2.006e+00           1.500e+00           1.000e-01           1.094e+01
          NS-Radical                  68           9.955e+02           2.006e+00           1.500e+00           1.000e-01           1.111e+01
          NS-Radical                  69           1.010e+03           2.006e+00           1.500e+00           1.000e-01           1.110e+01
          NS-Radical                  70           1.025e+03           2.006e+00           1.500e+00           1.000e-01           1.084e+01
          NS-Radical                  71           1.040e+03           2.006e+00           1.500e+00           1.000e-01           1.072e+01
          NS-Radical                  72           1.055e+03           2.006e+00           1.500e+00           1.000e-01           1.061e+01
          NS-Radical                  73           1.070e+03           2.006e+00           1.500e+00           1.000e-01           1.061e+01
          NS-Radical                  74           1.085e+03           2.006e+00           1.500e+00           1.000e-01           1.025e+01
          NS-Radical                  75           1.100e+03           2.006e+00           1.500e+00           1.000e-01           1.012e+01
          NS-Radical                  76           1.114e+03           2.006e+00           1.500e+00           1.000e-01           1.007e+01
          NS-Radical                  77           1.129e+03           2.006e+00           1.500e+00           1.000e-01           1.014e+01
          NS-Radical                  78           1.144e+03           2.006e+00           1.500e+00           1.000e-01           1.022e+01
          NS-Radical                  79           1.159e+03           2.006e+00           1.500e+00           1.000e-01           1.014e+01
          NS-Radical                  80           1.174e+03           2.006e+00           1.500e+00           1.000e-01           9.652e+00
          NS-Radical                  81           1.189e+03           2.006e+00           1.500e+00           1.000e-01           1.010e+01
          NS-Radical                  82           1.204e+03           2.006e+00           1.500e+00           1.000e-01           9.935e+00
          NS-Radical                  83           1.218e+03           2.006e+00           1.500e+00           1.000e-01           9.512e+00
          NS-Radical                  84           1.233e+03           2.006e+00           1.500e+00           1.000e-01           9.406e+00
          NS-Radical                  85           1.248e+03           2.006e+00           1.500e+00           1.000e-01           9.375e+00
          NS-Radical                  86           1.263e+03           2.006e+00           1.500e+00           1.000e-01           9.490e+00
          NS-Radical                  87           1.278e+03           2.006e+00           1.500e+00           1.000e-01           9.290e+00
          NS-Radical                  88           1.293e+03           2.006e+00           1.500e+00           1.000e-01           8.958e+00
          NS-Radical                  89           1.308e+03           2.006e+00           1.500e+00           1.000e-01           9.092e+00
          NS-Radical                  90           1.323e+03           2.006e+00           1.500e+00           1.000e-01           9.225e+00
          NS-Radical                  91           1.337e+03           2.006e+00           1.500e+00           1.000e-01           8.883e+00
          NS-Radical                  92           1.352e+03           2.006e+00           1.500e+00           1.000e-01           8.843e+00
          NS-Radical                  93           1.367e+03           2.006e+00           1.500e+00           1.000e-01           8.972e+00
          NS-Radical                  94           1.382e+03           2.006e+00           1.500e+00           1.000e-01           8.689e+00
          NS-Radical                  95           1.397e+03           2.006e+00           1.500e+00           1.000e-01           8.484e+00
          NS-Radical                  96           1.412e+03           2.006e+00           1.500e+00           1.000e-01           8.383e+00
          NS-Radical                  97           1.427e+03           2.006e+00           1.500e+00           1.000e-01           8.546e+00
          NS-Radical                  98           1.442e+03           2.006e+00           1.500e+00           1.000e-01           8.258e+00
          NS-Radical                  99           1.456e+03           2.006e+00           1.500e+00           1.000e-01           8.115e+00
          NS-Radical                 100           1.471e+03           2.006e+00           1.500e+00           1.000e-01           8.392e+00
END_REPORT
