"B_G","dIepr_over_dB","B_mT"
3439.17,-4.38909679859972e-07,343.917
3439.22,-2.38897973139723e-07,343.922
3439.27,-3.01669413407384e-07,343.927
3439.32,3.07043139211677e-10,343.932
3439.37,-7.25313580405192e-07,343.937
3439.42,-5.63170540631066e-07,343.942
3439.47,-7.14001069609531e-07,343.947
3439.52,-9.66216809214148e-07,343.952
3439.57,-1.33185504438751e-07,343.957
3439.62,8.63389391903321e-07,343.962
3439.67,1.21684053834664e-06,343.967
3439.72,1.00837587760897e-07,343.972
3439.77,-8.84165114580565e-08,343.977
3439.82,1.2112200820336e-06,343.982
3439.87,2.86469258347004e-07,343.987
3439.92,2.14501910692247e-07,343.992
3439.97,2.72606062759599e-07,343.997
3440.02,-6.3729258066205e-07,344.002
3440.07,-8.75654074450462e-07,344.007
3440.12,-6.6839527302172e-07,344.012
3440.17,-2.52353954137569e-07,344.017
3440.22,-2.11359527160094e-07,344.022
3440.27,3.9553566254485e-07,344.027
3440.32,-3.93545527094537e-07,344.032
3440.37,-6.60765593074488e-07,344.037
3440.42,-5.15902962063822e-09,344.042
3440.47,-8.09063301843563e-07,344.047
3440.52,-3.85947171346502e-07,344.052
3440.57,-2.858305733078e-07,344.057
3440.62,-3.71338907306772e-07,344.062
3440.67,4.16710821201919e-07,344.067
3440.72,4.86123009179333e-07,344.072
3440.77,-2.49409479413065e-07,344.077
3440.82,-1.11503584215557e-06,344.082
3440.87,-6.19229704939468e-07,344.087
3440.92,-2.95599231091595e-07,344.092
3440.97,-4.36209086400644e-07,344.097
3441.02,-3.06488865198099e-07,344.102
3441.07,-3.64857035515825e-07,344.107
3441.12,3.78548996808959e-07,344.112
3441.17,6.37403194240464e-07,344.117
3441.22,-5.24339607220832e-08,344.122
3441.27,4.46394974826531e-07,344.127
3441.32,-1.12014820667282e-07,344.132
3441.37,-5.06816068833138e-07,344.137
3441.42,-1.61681584676694e-07,344.142
3441.47,1.1581279241979e-07,344.147
3441.52,-4.91641731765065e-07,344.152
3441.57,5.13401911794187e-07,344.157
3441.62,2.92931146102945e-08,344.162
3441.67,4.92372186919104e-07,344.167
3441.72,2.04205198927683e-07,344.172
3441.77,5.34776202860436e-07,344.177
3441.82,6.34255112221181e-07,344.182
3441.87,4.74351822609718e-07,344.187
3441.92,-7.8008394270088e-07,344.192
3441.97,-3.21508818712987e-07,344.197
3442.02,1.73541198306961e-08,344.202
3442.07,1.81604789207158e-07,344.207
3442.12,-4.96794562532946e-07,344.212
3442.17,-3.89509180283744e-07,344.217
3442.22,-1.51378160583731e-07,344.222
3442.27,-5.2180246070603e-07,344.227
3442.32,-2.13849800996244e-07,344.232
3442.37,8.55425729918168e-09,344.237
3442.42,-1.98212313268618e-07,344.242
3442.47,-2.65284136077467e-07,344.247
3442.52,7.8421076610489e-07,344.252
3442.57,5.858145105661e-07,344.257
3442.62,-8.33956898153618e-08,344.262
3442.67,-2.87929294653988e-07,344.267
3442.72,4.61781868960583e-07,344.272
3442.77,5.77213780443766e-07,344.277
3442.82,8.59899173415913e-08,344.282
3442.87,8.90619070776581e-07,344.287
3442.92,1.34745404110697e-09,344.292
3442.97,-2.90441942918136e-07,344.297
3443.02,-6.08069340254192e-07,344.302
3443.07,-4.07974795710285e-07,344.307
3443.12,-2.90533678072926e-07,344.312
3443.17,1.52220452917715e-07,344.317
3443.22,6.2906215606309e-08,344.322
3443.27,4.34494016574529e-07,344.327
3443.32,3.09060735776352e-07,344.332
3443.37,-5.3332081623927e-07,344.337
3443.42,-2.10330303472198e-07,344.342
3443.47,7.04783784155683e-07,344.347
3443.52,9.40892173044721e-07,344.352
3443.57,2.08026751229699e-07,344.357
3443.62,4.65525110764606e-07,344.362
3443.67,-2.58770940087323e-07,344.367
3443.72,-4.51072418919548e-07,344.372
3443.77,3.09029411577156e-07,344.377
3443.82,-4.79306709609906e-07,344.382
3443.87,-9.03700419945639e-07,344.387
3443.92,-8.60591609522378e-07,344.392
3443.97,-2.0454875127758e-07,344.397
3444.02,3.0391909222247e-07,344.402
3444.07,2.94027493074835e-08,344.407
3444.12,-4.96490270312177e-07,344.412
3444.17,-3.42659365499259e-07,344.417
3444.22,-3.15465485710795e-07,344.422
3444.27,7.74811268903036e-07,344.427
3444.32,4.34451505161333e-07,344.432
3444.37,1.17842153039186e-07,344.437
3444.42,-1.84454277492802e-07,344.442
3444.47,3.55266302504672e-08,344.447
3444.52,-6.92378422392507e-07,344.452
3444.57,-4.48617944168195e-07,344.457
3444.62,1.50325338866306e-07,344.462
3444.67,1.73818488263941e-07,344.467
3444.72,-3.8357995686434e-07,344.472
3444.77,-2.60115643209988e-07,344.477
3444.82,1.05726157306101e-06,344.482
3444.87,9.18059069273019e-07,344.487
3444.92,1.13684984317204e-07,344.492
3444.97,5.19252824715599e-07,344.497
3445.02,4.12983241497494e-07,344.502
3445.07,-2.91927604937186e-07,344.507
3445.12,-6.7704746432845e-07,344.512
3445.17,4.85820954401363e-07,344.517
3445.22,-2.15049070336923e-07,344.522
3445.27,-2.52897652737914e-07,344.527
3445.32,-4.197549320511e-07,344.532
3445.37,4.03272739746471e-07,344.537
3445.42,5.57676429916132e-07,344.542
3445.47,4.46016846993369e-07,344.547
3445.52,4.70516959271046e-08,344.552
3445.57,-9.37326947783455e-07,344.557
3445.62,-7.62168738203083e-07,344.562
3445.67,-3.561578579103e-07,344.567
3445.72,-5.2080903610293e-07,344.572
3445.77,-1.19890619322489e-07,344.577
3445.82,-9.10316538304573e-07,344.582
3445.87,-5.00871183314136e-07,344.587
3445.92,-6.39186060331415e-09,344.592
3445.97,-4.63190295502986e-08,344.597
3446.02,-2.71408017020451e-07,344.602
3446.07,5.70418780280992e-08,344.607
3446.12,-8.52838870221158e-07,344.612
3446.17,-1.0521211880687e-06,344.617
3446.22,-1.55788007391896e-08,344.622
3446.27,5.35758440249538e-07,344.627
3446.32,2.04719810771631e-07,344.632
3446.37,-8.11604844583867e-08,344.637
3446.42,-1.55564263111918e-08,344.642
3446.47,1.06877321626585e-06,344.647
3446.52,-1.9162751910888e-07,344.652
3446.57,-8.71181426293712e-07,344.657
3446.62,-5.59221340469322e-08,344.662
3446.67,-6.02587605394743e-07,344.667
3446.72,-1.11353228059412e-06,344.672
3446.77,-8.95820749465587e-09,344.677
3446.82,2.17220403693973e-07,344.682
3446.87,-3.55417264343575e-07,344.687
3446.92,-7.43448054297367e-07,344.692
3446.97,-7.48524812010056e-07,344.697
3447.02,-4.02799590514406e-07,344.702
3447.07,-5.27845793708221e-07,344.707
3447.12,-1.1236656590343e-06,344.712
3447.17,-4.50240090198032e-07,344.717
3447.22,-2.12578933485972e-07,344.722
3447.27,3.93264658103078e-07,344.727
3447.32,-3.06808819518467e-07,344.732
3447.37,-5.00374471012586e-07,344.737
3447.42,-3.57345940036981e-07,344.742
3447.47,3.09049548562354e-07,344.747
3447.52,3.93412329327863e-07,344.752
3447.57,7.50103188065122e-07,344.757
3447.62,-4.83513102073483e-07,344.762
3447.67,-3.48664661973854e-07,344.767
3447.72,-6.23926097376196e-07,344.772
3447.77,-7.7601403424809e-07,344.777
3447.82,-1.45029867623934e-06,344.782
3447.87,-6.70473857382711e-07,344.787
3447.92,2.55149534035756e-07,344.792
3447.97,1.93733966624737e-07,344.797
3448.02,-1.04927963571299e-06,344.802
3448.07,-4.62226071276425e-07,344.807
3448.12,1.88856341321228e-07,344.812
3448.17,2.54740082003397e-07,344.817
3448.22,7.05340907412827e-07,344.822
3448.27,3.01095439409154e-07,344.827
3448.32,-4.84065636824885e-08,344.832
3448.37,-2.71430391448449e-07,344.837
3448.42,-2.67174775243277e-07,344.842
3448.47,-3.02944755803255e-07,344.847
3448.52,2.46416794788235e-07,344.852
3448.57,-3.08122198441934e-07,344.857
3448.62,-1.46739941659798e-07,344.862
3448.67,8.80966742538352e-07,344.867
3448.72,1.43409623420477e-06,344.872
3448.77,-5.97750105481444e-08,344.877
3448.82,5.05398692519535e-08,344.882
3448.87,2.85997157916252e-07,344.887
3448.92,-1.74488707262605e-07,344.892
3448.97,-7.49231843934785e-07,344.897
3449.02,-4.50461597035209e-07,344.902
3449.07,-2.55088109238894e-07,344.907
3449.12,-4.62843605489163e-07,344.912
3449.17,-1.36322255033855e-08,344.917
3449.22,7.1504693427825e-07,344.922
3449.27,2.92635650703184e-07,344.927
3449.32,-6.84876128104676e-08,344.932
3449.37,1.75060269017816e-07,344.937
3449.42,4.79269721883623e-07,344.942
3449.47,3.32182469669225e-07,344.947
3449.52,6.39577988641846e-07,344.952
3449.57,1.31475774759318e-06,344.957
3449.62,7.83593231892152e-07,344.962
3449.67,9.40386510971972e-07,344.967
3449.72,1.34551363631889e-06,344.972
